algorithm,thickness_mm,width_mm,arm_length_mm,fillet_radius_mm,predicted_stress_MPa,predicted_mass_kg,factor_of_safety,optimization_time_sec,generations
Genetic Algorithm,8.408,34.091,40.023,9.461,124.955,0.1584,2.001,5.176,60
Bayesian Optimization,8.294,40.986,40.026,6.423,121.586,0.1838,2.056,1.788,150
