target,model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std
stress,Random Forest,0.9625068690281996,0.0037821689095120657,27.439448781000003,0.7161233633952202,57.15745889011695,6.061251860569394
stress,XGBoost,0.9822636946114907,0.0037083331002281572,18.60616258040876,1.1355509219738606,39.3027797651045,6.433258846029459
stress,MLP Neural Network,0.9960831732052539,0.001209132126255013,9.894728882952865,0.8647319479830788,18.328138944495006,3.6110342443588834
stress,SVR,0.99879595147149,0.0005266960931710254,4.160944862701261,0.291713410043419,10.107439290009548,2.6459732277788635
mass,Random Forest,0.9958367011339954,0.000197837282274547,0.0078249308,6.39339096822578e-05,0.01126250195732584,0.0002689724904737373
mass,XGBoost,0.9978330031148961,0.00017804876386900192,0.005805262806933522,0.00022613985256397163,0.008122805448905005,0.00037661628593876374
mass,MLP Neural Network,0.9987982706072309,0.00018290674700884726,0.004473676650386106,0.0003481474857596806,0.006036948737106297,0.00047250490606930926
mass,SVR,0.9998731372740635,6.359538349876421e-06,0.0012614144941937055,5.854363181941081e-05,0.0019657301174749427,3.9825801664132246e-05
